breed_id,breed_name,species,home_tract,states,origin,coat_colour,horn_characteristics,body_characteristics,production_type,milk_information,description,official_source,official_source_url
cow_purnea,Purnea,cattle,"Purnea, Katihar, Kishanganj, and Araria districts",Bihar,"Bihar, India","Greyish white, black, or red","Small, stumpy, curving upwards and forwards","Small, compact, energetic body with straight back",Draught / Milking,"Modest milk yield, around 1.5 to 2.5 litres daily (Avg: 440 kg per lactation)","Indigenous cattle breed of the Kosi region of Bihar, valued for agricultural labor in flood-prone alluvial plains.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_kathani,Kathani,cattle,"Chandrapur, Gadchiroli, and Gondia districts",Maharashtra,"Maharashtra, India","Brown, reddish brown, or grey with darker shades on neck","Medium, curved upward and backward","Medium-sized, compact, hardy, muscular frame",Draught,"Low milk yield, cows yield around 1 to 2 litres daily (Avg: 380 kg per lactation)","Indigenous draught breed of eastern Vidarbha, Maharashtra, bred by local farming communities for hardy agricultural work.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_sanchori,Sanchori,cattle,Jalore and Sirohi districts (Sanchore area),Rajasthan,"Rajasthan, India",White or light silver grey,"Medium to large, lyrate horns curving upwards and outwards","Large, deep-chested, well-proportioned body resembling Kankrej ancestry",Milking (Dairy) / Dual purpose,"High milk yielding indigenous breed of southwest Rajasthan (Avg: 1,450 kg per lactation)","Prominent indigenous dual-purpose breed of southwest Rajasthan, closely related to Kankrej, valued for rich milk and sturdy draught.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_masilum,Masilum,cattle,"East Khasi Hills, West Khasi Hills, and Ri-Bhoi districts",Meghalaya,"Meghalaya, India","Black, brown, or black with white spots","Small, pointing upward and outward","Small, sturdy, compact body with strong short limbs",Hill / Draught,"Low milk yield, primarily kept for manure, draught, and ritual importance (Avg: 230 kg per lactation)","Hardy indigenous cattle of the Meghalaya plateau, adapted to extreme rainfall and high-altitude hill foraging.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_medini,Medini,cattle,"Palamu, Latehar, and Garhwa districts",Jharkhand,"Jharkhand, India","Grey, white, or light brown","Small, curving upwards and inwards","Small to medium, compact, hardy frame with strong hooves",Draught / Milking,"Low milk yield, cows yield 1 to 2.5 litres daily (Avg: 390 kg per lactation)","Indigenous cattle breed of Jharkhand's Palamu region, valued by tribal farmers for resilient draught in undulating rocky soils.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_rohilkhandi,Rohilkhandi,cattle,"Bareilly, Badaun, Shahjahanpur, and Pilibhit districts",Uttar Pradesh,"Uttar Pradesh, India",White or light grey,"Medium, curved upwards and outwards","Medium-sized, well-built, symmetrical body with straight back",Draught / Milking,Moderate to good milk yield under rural farm feeding (Avg: 780 kg per lactation),"Indigenous cattle of the Rohilkhand tract in UP, providing dependable milk for farm families and strong draught for crop cultivation.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_koppal,Koppal,cattle,"Koppal, Raichur, and Bellary districts",Karnataka,"Karnataka, India","Greyish white or light grey, darker on shoulders in males",Medium horns curving backwards and upwards,"Medium-sized, compact, muscular frame with strong straight back",Draught,"Low milk yield, primarily bred for energetic draught bullocks (Avg: 410 kg per lactation)","Indigenous draught breed of northern Karnataka's Koppal region, valued for sturdy working capacity in dryland agriculture.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_mahakaushali,Mahakaushali,cattle,"Jabalpur, Mandla, Narsinghpur, and Dindori districts",Madhya Pradesh,"Madhya Pradesh, India",White or light grey with dark markings on forequarters in males,"Medium, curved upwards and inwards","Medium-sized, deep body, straight back, strong legs",Dual purpose (Milk and Draught),Fair milk production under traditional mixed crop-livestock farming (Avg: 690 kg per lactation),"Dual-purpose cattle breed of the Mahakoshal region of Madhya Pradesh, prized for milk production and dependable field labor.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_periyar,Periyar,cattle,Idukki and Ernakulam districts along the Periyar river basin,Kerala,"Kerala, India","Black, brown, or dark red","Small, curving slightly upwards and inwards","Small miniature body, compact, lightweight with short sturdy limbs",Dwarf / Draught / Milk,Modest milk yield with high butterfat content (Avg: 320 kg per lactation),"Indigenous dwarf cattle breed of the Periyar river basin in Kerala, known for small size, disease resistance, and hill foraging.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
cow_umarda,Umarda,cattle,"Washim, Akola, and Yavatmal districts",Maharashtra,"Maharashtra, India",White or greyish white with darker shades on neck in males,"Medium, curving backwards and upwards","Medium-sized, compact, muscular frame with strong limbs and sturdy hooves",Draught,"Low milk yield, cows sustain energetic working calves (Avg: 410 kg per lactation)","Indigenous draught breed of Vidarbha, Maharashtra, officially registered by ICAR-NBAGR for strength and resilience in cotton belt farming.",ICAR - National Bureau of Animal Genetic Resources (NBAGR),https://nbagr.res.in/cattle-breed
